zipcode,cd,state,city,state_fips_code
01982,2506,MA,SOUTH HAMILTON,25
01983,2506,MA,TOPSFIELD,25
01984,2506,MA,WENHAM,25
01985,2506,MA,WEST NEWBURY,25
02018,2508,MA,ACCORD,25
02019,2504,MA,BELLINGHAM,25
02020,2508,MA,BRANT ROCK,25
02021,2508,MA,CANTON,25
02025,2509,MA,COHASSET,25
02026,2508,MA,DEDHAM,25
02027,2508,MA,DEDHAM,25
02030,2504,MA,DOVER,25
02032,2508,MA,EAST WALPOLE,25
02035,2504,MA,FOXBORO,25
02038,2504,MA,FRANKLIN,25
02041,2509,MA,GREEN HARBOR,25
02043,2508,MA,HINGHAM,25
02044,2509,MA,HINGHAM,25
02045,2508,MA,HULL,25
02047,2509,MA,HUMAROCK,25
02048,2504,MA,MANSFIELD,25
02050,2509,MA,MARSHFIELD,25
02051,2504,MA,MARSHFIELD HILLS,25
02052,2504,MA,MEDFIELD,25
02053,2502,MA,MEDWAY,25
02053,2504,MA,MEDWAY,25
02054,2504,MA,MILLIS,25
02056,2504,MA,NORFOLK,25
02059,2509,MA,NORTH MARSHFIELD,25
02060,2509,MA,NORTH SCITUATE,25
02061,2509,MA,NORWELL,25
02062,2508,MA,NORWOOD,25
02065,2509,MA,OCEAN BLUFF,25
02066,2509,MA,SCITUATE,25
02067,2504,MA,SHARON,25
02067,2508,MA,SHARON,25
02070,2508,MA,SHELDONVILLE,25
02071,2508,MA,SOUTH WALPOLE,25
02072,2504,MA,STOUGHTON,25
02072,2508,MA,STOUGHTON,25
02081,2504,MA,WALPOLE,25
02081,2508,MA,WALPOLE,25
02090,2508,MA,WESTWOOD,25
02093,2504,MA,WRENTHAM,25
02108,2508,MA,BOSTON,25
02109,2508,MA,BOSTON,25
02110,2507,MA,BOSTON,25
02110,2508,MA,BOSTON,25
02111,2507,MA,BOSTON,25
02111,2508,MA,BOSTON,25
02112,2508,MA,BOSTON,25
02113,2508,MA,BOSTON,25
02114,2508,MA,BOSTON,25
02115,2507,MA,BOSTON,25
02115,2508,MA,BOSTON,25
02116,2507,MA,BOSTON,25
